command,mean,stddev,median,user,system,min,max,parameter_num_bytes
./target/release/memory-alignment-tests v2 108,0.01635661375153845,0.0001714122392505955,0.016328595540000004,0.015627515897435905,0.0004745687179487178,0.016052345540000002,0.017542845540000004,108
./target/release/memory-alignment-tests v2 109,0.017222102540000003,0.00018561726017889582,0.017218345540000003,0.016507755496688734,0.0004981630463576159,0.016908678540000003,0.018277637540000002,109
./target/release/memory-alignment-tests v2 110,0.018102600920952384,0.00027042050151856583,0.018019178540000003,0.01736748136054422,0.0005074703401360545,0.01772488754,0.019205137540000004,110
./target/release/memory-alignment-tests v2 111,0.019007541160437947,0.0003586644768706323,0.01890930454,0.018244131094890512,0.000512364525547445,0.018496970540000005,0.02030976254,111
./target/release/memory-alignment-tests v2 112,0.011836702998536583,0.00013572522209995768,0.01183113754,0.011199123902439028,0.00045586390243902437,0.011579137540000001,0.01248234554,112
./target/release/memory-alignment-tests v2 113,0.01191785910249999,0.00018471523633322345,0.011892971040000002,0.011264743461538456,0.00047155749999999957,0.01156322054,0.012627553540000001,113
./target/release/memory-alignment-tests v2 114,0.012753695206666669,0.00019174088955708132,0.01273051254,0.012074141538461534,0.00048590205128205133,0.012406304540000001,0.01328217954,114
./target/release/memory-alignment-tests v2 115,0.01532653161738096,0.00014719882952675918,0.015303700540000001,0.01467891928571429,0.0004626735714285712,0.01506580454,0.015960220540000004,115
./target/release/memory-alignment-tests v2 116,0.016221607426792458,0.0002705213943176104,0.016185179540000004,0.015543073710691824,0.0004841294339622641,0.015909428540000003,0.018553512540000004,116
./target/release/memory-alignment-tests v2 117,0.01694660407947367,0.00013078720666275992,0.01693990804,0.016294981315789468,0.0004644094736842105,0.01667222054,0.017322929540000004,117
./target/release/memory-alignment-tests v2 118,0.017862310107567576,0.00040795024872540266,0.017772574540000002,0.017138694864864863,0.0005064105405405406,0.017458721540000003,0.021001845540000005,118
./target/release/memory-alignment-tests v2 119,0.018517832825714283,0.0001403345865872289,0.01851407554,0.017845994285714283,0.00047918428571428563,0.018225512540000002,0.018962887540000004,119
./target/release/memory-alignment-tests v2 120,0.012050766408292682,0.00016842130899411567,0.01202847054,0.011397367804878045,0.00047089804878048744,0.011787387540000001,0.013069720540000001,120
./target/release/memory-alignment-tests v2 121,0.012039901690485431,0.00014042491577376834,0.01202324204,0.011361531456310673,0.00046675106796116464,0.011785637540000001,0.01258838754,121
./target/release/memory-alignment-tests v2 122,0.013865329962680419,0.013736315684545027,0.01278284554,0.012228208865979376,0.0005006767010309275,0.01254588754,0.20392888754000002,122
./target/release/memory-alignment-tests v2 123,0.01543907024481927,0.0002854791403430334,0.015402783540000001,0.014726314939759044,0.0004954754216867469,0.01507213754,0.01751559554,123
./target/release/memory-alignment-tests v2 124,0.01608834145250001,0.00018568954747657496,0.016059866540000002,0.015414573749999999,0.00047241999999999976,0.015774762540000004,0.016771554540000004,124
./target/release/memory-alignment-tests v2 125,0.016993024888387092,0.0002939400765887407,0.016934429540000004,0.01624955096774194,0.0005133748387096772,0.01654317854,0.01812776254,125
./target/release/memory-alignment-tests v2 126,0.017610019682857147,0.00020520265735852442,0.017568970540000003,0.01692758340136054,0.0004687356462585031,0.017269012540000003,0.018345596540000002,126
./target/release/memory-alignment-tests v2 127,0.018526084239300702,0.0004740173685059846,0.018392845540000004,0.017764996083916088,0.0005283752447552447,0.018022512540000004,0.021231678540000003,127
./target/release/memory-alignment-tests v2 128,0.00874298192970588,0.00027938136725956763,0.008701846039999999,0.0081002969117647,0.000462954558823529,0.00824659554,0.01028722154,128
